id,nationality,olympic_gold_medals,fiba_world_cup
1,American,0.0,0.0
2,American,0.0,0.0
3,Serbian,0.0,0.0
4,American,0.0,0.0
5,American,0.0,1.0
6,French,0.0,0.0
7,Azerbaijani,0.0,0.0
9,American,0.0,0.0
10,American,0.0,0.0
11,American,0.0,0.0
12,American,2.0,1.0
13,American,0.0,0.0
14,American-Venezuelan,0.0,0.0
15,American,0.0,0.0
16,American,0.0,0.0
17,American,0.0,0.0
18,American,0.0,0.0
19,American,0.0,0.0
20,American,0.0,0.0
21,American,0.0,0.0
22,American,0.0,0.0
23,American,0.0,0.0
24,American,0.0,0.0
25,American,0.0,0.0
26,American,0.0,0.0
27,American,0.0,0.0
28,American,1.0,0.0
29,,0.0,0.0
30,American,0.0,0.0
31,American,0.0,0.0
32,Nigerian-American,0.0,1.0
33,American,0.0,0.0
34,American,0.0,0.0
35,American,0.0,0.0
36,American,0.0,0.0
37,American,0.0,0.0
38,American,0.0,0.0
39,American,0.0,0.0
40,American,1.0,0.0
41,American,0.0,0.0
42,American,0.0,0.0
43,American,0.0,0.0
44,American,0.0,0.0
45,Dutch,0.0,1.0
46,American,1.0,0.0
47,American,0.0,0.0
48,American,0.0,0.0
49,American,0.0,1.0
50,Canadian,0.0,0.0
51,Greek-American,0.0,0.0
52,,0.0,0.0
53,American,0.0,0.0
54,American,4.0,1.0
56,American,0.0,1.0
57,American,0.0,0.0
58,American,0.0,0.0
59,American,1.0,1.0
60,American,0.0,0.0
61,American,0.0,0.0
62,American,0.0,0.0
63,American,0.0,0.0
64,American,0.0,0.0
65,Slovenian,0.0,0.0
66,American,0.0,0.0
67,American,0.0,0.0
68,American,0.0,0.0
69,American,1.0,1.0
70,American,0.0,0.0
71,American,0.0,0.0
72,American,0.0,0.0
73,Croatian,0.0,1.0
74,American,0.0,0.0
75,Greek,0.0,0.0
76,American,0.0,0.0
77,American,0.0,0.0
78,American,0.0,0.0
79,American,0.0,0.0
80,American,0.0,0.0
81,American,0.0,0.0
82,American,0.0,0.0
83,American,0.0,0.0
84,American,0.0,0.0
85,American,0.0,0.0
86,American,0.0,0.0
87,American,0.0,0.0
88,American,0.0,0.0
89,American,0.0,0.0
90,American,0.0,0.0
91,American,0.0,0.0
92,American,0.0,0.0
93,German,0.0,1.0
94,American,0.0,0.0
95,American,0.0,0.0
96,American-Spanish,0.0,0.0
97,American,0.0,0.0
98,American,0.0,0.0
99,American,0.0,1.0
100,Bahamian,0.0,0.0
101,American,0.0,0.0
102,Cameroonian-American,1.0,0.0
103,American,1.0,0.0
104,American,1.0,1.0
105,American,2.0,0.0
106,American,0.0,0.0
107,Canadian,0.0,0.0
108,American,0.0,0.0
109,British,0.0,0.0
110,American,0.0,0.0
111,French,0.0,0.0
112,American,2.0,0.0
113,American,0.0,1.0
114,American,1.0,1.0
115,Greek and Nigerian,0.0,0.0
116,American,1.0,2.0
117,Dominican,0.0,0.0
118,American,0.0,0.0
119,American,0.0,0.0
120,American-Chinese,0.0,0.0
121,American,0.0,1.0
122,American,3.0,0.0
123,American,1.0,0.0
124,American,0.0,0.0
125,American,1.0,0.0
126,American,0.0,1.0
127,American,1.0,0.0
128,American,2.0,0.0
129,American,2.0,0.0
130,American,2.0,0.0
131,American,0.0,0.0
132,Congolese,0.0,0.0
133,American,0.0,0.0
134,Mexican-American,0.0,0.0
135,American,0.0,0.0
136,American,0.0,0.0
137,American,1.0,1.0
138,American,2.0,0.0
139,American,2.0,0.0
140,American,1.0,0.0
141,American,2.0,0.0
