query_id,sql_file,result_csv,acc_json,return_code,status,stdout,stderr,macro_f1,macro_precision,macro_recall,sql
1,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/1/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/1/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/1/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:23,746] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\1\sql.json
[2026-03-18 11:47:23,857] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:23,874] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\1\result.csv with 140 rows
[2026-03-18 11:47:23,917] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:24,169] [INFO] Aligned 140 rows (gold=140, pred=140) using keys=['id']
[2026-03-18 11:47:24,169] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:24,169] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:24,201] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\1\acc_result (gold=140, matched=140 rows)
[2026-03-18 11:47:24,201] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE CAST(fiba_world_cup AS DOUBLE) >= 0;"
2,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/2/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/2/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/2/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:26,051] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\2\sql.json
[2026-03-18 11:47:26,203] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:26,220] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\2\result.csv with 126 rows
[2026-03-18 11:47:26,265] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:26,465] [INFO] Aligned 126 rows (gold=126, pred=126) using keys=['id']
[2026-03-18 11:47:26,479] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:26,479] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:26,479] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\2\acc_result (gold=126, matched=126 rows)
[2026-03-18 11:47:26,479] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT position, nationality, age FROM player WHERE CAST(age AS DOUBLE) < 78;"
3,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/3/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/3/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/3/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:27,933] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\3\sql.json
[2026-03-18 11:47:28,056] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:28,080] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\3\result.csv with 17 rows
[2026-03-18 11:47:28,126] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:28,161] [INFO] Aligned 17 rows (gold=17, pred=17) using keys=['id']
[2026-03-18 11:47:28,163] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:28,164] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:28,180] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\3\acc_result (gold=17, matched=17 rows)
[2026-03-18 11:47:28,181] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT mvp_awards, draft_pick, name FROM player WHERE CAST(mvp_awards AS DOUBLE) >= 1;"
4,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/4/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/4/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/4/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:32,907] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\4\sql.json
[2026-03-18 11:47:33,017] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:33,033] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\4\result.csv with 1 rows
[2026-03-18 11:47:33,065] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:33,065] [INFO] Aligned 1 rows (gold=1, pred=1) using keys=['id']
[2026-03-18 11:47:33,065] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:33,065] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:33,081] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\4\acc_result (gold=1, matched=1 rows)
[2026-03-18 11:47:33,081] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT age, birth_date, team FROM player WHERE team = 'Cedevita Olimpija';"
5,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/5/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/5/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/5/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:34,585] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\5\sql.json
[2026-03-18 11:47:34,696] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:34,728] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\5\result.csv with 107 rows
[2026-03-18 11:47:34,754] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:34,880] [INFO] Aligned 107 rows (gold=107, pred=107) using keys=['id']
[2026-03-18 11:47:34,880] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:34,880] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:34,896] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\5\acc_result (gold=107, matched=107 rows)
[2026-03-18 11:47:34,896] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT fiba_world_cup, nba_championships, birth_date FROM player WHERE CAST(nba_championships AS DOUBLE) = 0;"
6,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/6/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/6/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/6/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:36,323] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\6\sql.json
[2026-03-18 11:47:36,417] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:36,433] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\6\result.csv with 1 rows
[2026-03-18 11:47:36,449] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:36,465] [INFO] Aligned 1 rows (gold=1, pred=1) using keys=['id']
[2026-03-18 11:47:36,465] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:36,465] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:36,465] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\6\acc_result (gold=1, matched=1 rows)
[2026-03-18 11:47:36,465] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT college, birth_date, draft_year FROM player WHERE birth_date = '1973/11/25';"
7,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/7/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/7/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/7/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:38,063] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\7\sql.json
[2026-03-18 11:47:38,169] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:38,197] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\7\result.csv with 15 rows
[2026-03-18 11:47:38,232] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:38,266] [INFO] Aligned 15 rows (gold=15, pred=15) using keys=['id']
[2026-03-18 11:47:38,268] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:38,268] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:38,279] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\7\acc_result (gold=15, matched=15 rows)
[2026-03-18 11:47:38,279] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT fiba_world_cup, draft_year, name FROM player WHERE CAST(draft_year AS DOUBLE) <= 2018 AND CAST(fiba_world_cup AS DOUBLE) > 0;"
8,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/8/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/8/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/8/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:39,758] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\8\sql.json
[2026-03-18 11:47:39,901] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:39,916] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\8\result.csv with 19 rows
[2026-03-18 11:47:39,944] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:39,965] [INFO] Aligned 19 rows (gold=19, pred=19) using keys=['id']
[2026-03-18 11:47:39,965] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:39,965] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:39,997] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\8\acc_result (gold=19, matched=19 rows)
[2026-03-18 11:47:39,997] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT position, nba_championships, fiba_world_cup FROM player WHERE CAST(fiba_world_cup AS DOUBLE) > 0 AND nationality != 'Azerbaijani';"
9,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/9/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/9/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/9/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:41,502] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\9\sql.json
[2026-03-18 11:47:41,626] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:41,637] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\9\result.csv with 28 rows
[2026-03-18 11:47:41,669] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:41,733] [INFO] Aligned 28 rows (gold=28, pred=28) using keys=['id']
[2026-03-18 11:47:41,733] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:41,733] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:41,753] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\9\acc_result (gold=28, matched=28 rows)
[2026-03-18 11:47:41,753] [INFO] Evaluation finished. Macro F1=1.0000
",1.0,1.0,1.0,"SELECT draft_pick, nba_championships, team FROM player WHERE CAST(draft_pick AS DOUBLE) < 24 AND CAST(draft_pick AS DOUBLE) >= 10;"
10,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/10/sql.json,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/10/result.csv,systems/DocETL/outputs/Player/Filter/filter_queries_player_duckdb/10/acc_result/acc.json,0,ok,,"[2026-03-18 11:47:43,419] [INFO] Starting evaluation for dataset=Player sql=systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\10\sql.json
[2026-03-18 11:47:43,640] [INFO] Running SQL on GT (exact)
[2026-03-18 11:47:43,658] [INFO] Loaded result from systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\10\result.csv with 0 rows
[2026-03-18 11:47:43,718] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:43,722] [INFO] Aligned 0 rows (gold=0, pred=0) using keys=['id']
[2026-03-18 11:47:43,724] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:43,724] [WARNING] No API key configured for provider 'aihubmix'; fallback to string match
[2026-03-18 11:47:43,743] [INFO] Saved outputs to systems\DocETL\outputs\Player\Filter\filter_queries_player_duckdb\10\acc_result (gold=0, matched=0 rows)
[2026-03-18 11:47:43,743] [INFO] Evaluation finished. Macro F1=0.0000
",0.0,0.0,0.0,"SELECT age, birth_date, college FROM player WHERE CAST(age AS DOUBLE) > 78 AND CAST(mvp_awards AS DOUBLE) > 0;"
